,price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
4336,104000.0,51.0,-34.6036844,-58.3815591,Villa Crespo
4338,85000.0,35.0,-34.6082976,-58.4853178,Villa del Parque
4354,154900.0,43.0,-34.587692,-58.3838697,Barrio Norte
4356,88000.0,49.0,-34.640658,-58.438253,Parque Chacabuco
4362,300000.0,88.0,-34.5761605,-58.4853088,Villa Urquiza
4366,100000.0,47.0,-34.6049321,-58.4350536,Caballito
4373,158000.0,52.0,-34.563191299,-58.4899569345,Villa Urquiza
4392,123000.0,44.0,-34.5546395,-58.4393927,Belgrano
4397,135000.0,51.0,-34.584358,-58.442652,Palermo
4414,60000.0,40.0,-34.6508775,-58.505965,Mataderos
4421,82000.0,45.0,-34.6396998,-58.5346936,Villa Luro
4432,290000.0,67.0,-34.5865616106,-58.400336361,Recoleta
4436,40448.28,35.0,-34.6267858,-58.4253358,Boedo
4440,94000.0,50.0,-34.6120966048,-58.4009582373,Balvanera
4444,145569.0,50.0,-34.572721,-58.483565,Villa Urquiza
4458,159000.0,64.0,-34.5596974,-58.4576976,Belgrano
4463,95000.0,32.0,-34.5951055,-58.3857913,Barrio Norte
4479,62000.0,31.0,-34.629373,-58.364734,Boca
4481,102000.0,31.0,-34.5551569,-58.4535714,Belgrano
4483,52064.0,66.0,-34.5413289,-58.473409,Saavedra
4486,120000.0,46.0,-34.60164,-58.433828,Villa Crespo
4491,129000.0,43.0,-34.5817888,-58.449509,Colegiales
4504,160000.0,38.0,-34.5745068,-58.458131,Colegiales
4511,95000.0,37.0,-34.6037137392,-58.3815808896,Belgrano
4517,110503.66,40.0,-34.570884,-58.4886936,Villa Urquiza
4518,95000.0,42.0,-34.5980302,-58.4466782,Caballito
4521,185000.0,90.0,-34.5981389,-58.4272486,Villa Crespo
4531,102000.0,47.0,,,Saavedra
4534,190000.0,92.0,-34.5688625,-58.4509752,Belgrano
4538,108576.0,47.0,-34.5904622,-58.370987,Paternal
4574,95900.0,50.0,-34.6102476,-58.3875204,Congreso
4588,208000.0,83.0,-34.55634,-58.468519,Nuñez
4592,92000.0,36.0,-34.607284,-58.448776,Caballito
